Day,Time,Lift,Vert Feet
2014-04-04,13:12:51,Eagle Express I,1500
2014-04-04,13:36:49,Eagle Express I,1500
2014-04-04,13:46:56,Eagle Express I,1500
2014-04-04,13:56:36,Eagle Express I,1500
2014-04-04,14:06:42,Eagle Express I,1500
2014-04-04,14:17:07,Eagle Express I,1500
2014-04-04,14:28:16,Eagle Express I,1500
2014-04-04,14:49:29,Eagle Express I,1500
2014-04-06,13:37:10,Moonbeam,675
2014-04-06,13:56:54,Eagle Express I,1500
2014-04-06,14:38:13,Eagle Express I,1500
2014-04-06,14:49:34,Eagle Express I,1500
2014-04-06,15:00:19,Eagle Express I,1500
2014-04-06,15:15:03,Eagle Express I,1500
2014-04-06,15:25:48,Eagle Express I,1500
2014-04-06,15:36:37,Eagle Express I,1500
2014-04-06,15:48:42,Eagle Express I,1500
2014-04-06,15:59:56,Eagle Express I,1500
2014-04-10,10:01:00,Moonbeam,675
2014-04-10,10:07:51,Eagle Express I,1500
2014-04-10,10:18:06,Eagle Express I,1500
2014-04-10,10:28:20,Eagle Express I,1500
2014-04-10,10:38:07,Eagle Express I,1500
2014-04-10,10:49:18,Eagle Express I,1500
2014-04-10,11:32:01,Eagle Express I,1500
2014-04-10,11:41:36,Eagle Express I,1500
2014-04-10,11:51:34,Eagle Express I,1500
2014-04-10,12:02:13,Eagle Express I,1500
2014-04-10,12:12:37,Eagle Express I,1500
2014-04-10,12:23:12,Eagle Express I,1500
2014-04-10,12:33:59,Eagle Express I,1500
2014-04-10,12:48:21,Powderhorn,1116
2014-04-13,12:32:12,Moonbeam,675
2014-04-13,12:40:44,Eagle Express I,1500
Total,634477
